id,firstname,surname,born,died,bornCountry,bornCountryCode,gender,prize_years,prize_categories,prize_motivation,ISO-ALPHA-3,latitude,longitude,officialCountryName
231,Robert B.,Woodward,1917,1979,USA,US,male,1965,chemistry,"""for his outstanding achievements in the art of organic synthesis""",USA,39.83,-98.58,United States of America
232,Robert S.,Mulliken,1896,1986,USA,US,male,1966,chemistry,"""for his fundamental work concerning chemical bonds and the electronic structure of molecules by the molecular orbital method""",USA,39.83,-98.58,United States of America
233,Manfred,Eigen,1927,2019,Germany,DE,male,1967,chemistry,"""for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy""",DDR,52.05,12.39,German Democratic Republic
234,Ronald G.W.,Norrish,1897,1978,United Kingdom,GB,male,1967,chemistry,"""for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy""",GBR,54.6,-2.0,United Kingdom
235,George,Porter,1920,2002,United Kingdom,GB,male,1967,chemistry,"""for their studies of extremely fast chemical reactions, effected by disturbing the equilibrium by means of very short pulses of energy""",GBR,54.6,-2.0,United Kingdom
236,Lars,Onsager,1903,1976,Norway,NO,male,1968,chemistry,"""for the discovery of the reciprocal relations bearing his name, which are fundamental for the thermodynamics of irreversible processes""",NOR,65.0,11.0,Norway
237,Derek,Barton,1918,1998,United Kingdom,GB,male,1969,chemistry,"""for their contributions to the development of the concept of conformation and its application in chemistry""",GBR,54.6,-2.0,United Kingdom
238,Odd,Hassel,1897,1981,Norway,NO,male,1969,chemistry,"""for their contributions to the development of the concept of conformation and its application in chemistry""",NOR,65.0,11.0,Norway
239,Luis,Leloir,1906,1987,France,FR,male,1970,chemistry,"""for his discovery of sugar nucleotides and their role in the biosynthesis of carbohydrates""",FRA,47.0,2.0,France
240,Gerhard,Herzberg,1904,1999,Germany,DE,male,1971,chemistry,"""for his contributions to the knowledge of electronic structure and geometry of molecules, particularly free radicals""",DDR,52.05,12.39,German Democratic Republic
241,Christian,Anfinsen,1916,1995,USA,US,male,1972,chemistry,"""for his work on ribonuclease, especially concerning the connection between the amino acid sequence and the biologically active conformation""",USA,39.83,-98.58,United States of America
242,Stanford,Moore,1913,1982,USA,US,male,1972,chemistry,"""for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule""",USA,39.83,-98.58,United States of America
243,William H.,Stein,1911,1980,USA,US,male,1972,chemistry,"""for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule""",USA,39.83,-98.58,United States of America
244,Ernst Otto,Fischer,1918,2007,Germany,DE,male,1973,chemistry,"""for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds""",DDR,52.05,12.39,German Democratic Republic
245,Geoffrey,Wilkinson,1921,1996,United Kingdom,GB,male,1973,chemistry,"""for their pioneering work, performed independently, on the chemistry of the organometallic, so called sandwich compounds""",GBR,54.6,-2.0,United Kingdom
246,Paul J.,Flory,1910,1985,USA,US,male,1974,chemistry,"""for his fundamental achievements, both theoretical and experimental, in the physical chemistry of the macromolecules""",USA,39.83,-98.58,United States of America
247,John,Cornforth,1917,2013,Australia,AU,male,1975,chemistry,"""for his work on the stereochemistry of enzyme-catalyzed reactions""",AUS,-28.0,137.0,Australia
248,Vladimir,Prelog,1906,1998,Austria-Hungary (now Bosnia and Herzegovina),BA,male,1975,chemistry,"""for his research into the stereochemistry of organic molecules and reactions""",BIH,44.0,18.0,Bosnia and Herzegovina
249,William,Lipscomb,1919,2011,USA,US,male,1976,chemistry,"""for his studies on the structure of boranes illuminating problems of chemical bonding""",USA,39.83,-98.58,United States of America
250,Ilya,Prigogine,1917,2003,Russia,RU,male,1977,chemistry,"""for his contributions to non-equilibrium thermodynamics, particularly the theory of dissipative structures""",RUS,66.42,94.25,Russia
251,Peter,Mitchell,1920,1992,United Kingdom,GB,male,1978,chemistry,"""for his contribution to the understanding of biological energy transfer through the formulation of the chemiosmotic theory""",GBR,54.6,-2.0,United Kingdom
252,Herbert C.,Brown,1912,2004,United Kingdom,GB,male,1979,chemistry,"""for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis""",GBR,54.6,-2.0,United Kingdom
253,Georg,Wittig,1897,1987,Germany,DE,male,1979,chemistry,"""for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis""",DDR,52.05,12.39,German Democratic Republic
254,Paul,Berg,1926,2023,USA,US,male,1980,chemistry,"""for his fundamental studies of the biochemistry of nucleic acids, with particular regard to recombinant-DNA""",USA,39.83,-98.58,United States of America
255,Walter,Gilbert,1932,0,USA,US,male,1980,chemistry,"""for their contributions concerning the determination of base sequences in nucleic acids""",USA,39.83,-98.58,United States of America
257,Kenichi,Fukui,1918,1998,Japan,JP,male,1981,chemistry,"""for their theories, developed independently, concerning the course of chemical reactions""",JPN,35.0,136.0,Japan
258,Roald,Hoffmann,1937,0,Poland (now Ukraine),UA,male,1981,chemistry,"""for their theories, developed independently, concerning the course of chemical reactions""",UKR,49.0,32.0,Ukraine
259,Aaron,Klug,1926,2018,Lithuania,LT,male,1982,chemistry,"""for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes""",LTU,55.2,24.0,Lithuania
260,Henry,Taube,1915,2005,Canada,CA,male,1983,chemistry,"""for his work on the mechanisms of electron transfer reactions, especially in metal complexes""",CAN,56.0,-109.0,Canada
261,Bruce,Merrifield,1921,2006,USA,US,male,1984,chemistry,"""for his development of methodology for chemical synthesis on a solid matrix""",USA,39.83,-98.58,United States of America
262,Herbert A.,Hauptman,1917,2011,USA,US,male,1985,chemistry,"""for their outstanding achievements in the development of direct methods for the determination of crystal structures""",USA,39.83,-98.58,United States of America
263,Jerome,Karle,1918,2013,USA,US,male,1985,chemistry,"""for their outstanding achievements in the development of direct methods for the determination of crystal structures""",USA,39.83,-98.58,United States of America
264,Dudley R.,Herschbach,1932,0,USA,US,male,1986,chemistry,"""for their contributions concerning the dynamics of chemical elementary processes""",USA,39.83,-98.58,United States of America
265,Yuan T.,Lee,1936,0,Taiwan,TW,male,1986,chemistry,"""for their contributions concerning the dynamics of chemical elementary processes""",TWN,24.0,121.0,Taiwan
266,John C.,Polanyi,1929,0,Germany,DE,male,1986,chemistry,"""for their contributions concerning the dynamics of chemical elementary processes""",DDR,52.05,12.39,German Democratic Republic
267,Donald J.,Cram,1919,2001,USA,US,male,1987,chemistry,"""for their development and use of molecules with structure-specific interactions of high selectivity""",USA,39.83,-98.58,United States of America
268,Jean-Marie,Lehn,1939,0,France,FR,male,1987,chemistry,"""for their development and use of molecules with structure-specific interactions of high selectivity""",FRA,47.0,2.0,France
269,Charles J.,Pedersen,1904,1989,Korea (now South Korea),KR,male,1987,chemistry,"""for their development and use of molecules with structure-specific interactions of high selectivity""",KOR,36.0,128.0,South Korea
270,Johann,Deisenhofer,1943,0,Germany,DE,male,1988,chemistry,"""for the determination of the three-dimensional structure of a photosynthetic reaction centre""",DDR,52.05,12.39,German Democratic Republic
271,Robert,Huber,1937,0,Germany,DE,male,1988,chemistry,"""for the determination of the three-dimensional structure of a photosynthetic reaction centre""",DDR,52.05,12.39,German Democratic Republic
272,Hartmut,Michel,1948,0,West Germany (now Germany),DE,male,1988,chemistry,"""for the determination of the three-dimensional structure of a photosynthetic reaction centre""",DDR,52.05,12.39,German Democratic Republic
273,Sidney,Altman,1939,2022,Canada,CA,male,1989,chemistry,"""for their discovery of catalytic properties of RNA""",CAN,56.0,-109.0,Canada
274,Thomas R.,Cech,1947,0,USA,US,male,1989,chemistry,"""for their discovery of catalytic properties of RNA""",USA,39.83,-98.58,United States of America
275,Elias James,Corey,1928,0,USA,US,male,1990,chemistry,"""for his development of the theory and methodology of organic synthesis""",USA,39.83,-98.58,United States of America
276,Richard R.,Ernst,1933,2021,Switzerland,CH,male,1991,chemistry,"""for his contributions to the development of the methodology of high resolution nuclear magnetic resonance (NMR) spectroscopy""",CHE,46.8,8.23,Switzerland
277,Rudolph A.,Marcus,1923,0,Canada,CA,male,1992,chemistry,"""for his contributions to the theory of electron transfer reactions in chemical systems""",CAN,56.0,-109.0,Canada
278,Kary B.,Mullis,1944,2019,USA,US,male,1993,chemistry,"""for his invention of the polymerase chain reaction (PCR) method""",USA,39.83,-98.58,United States of America
279,Michael,Smith,1932,2000,United Kingdom,GB,male,1993,chemistry,"""for his fundamental contributions to the establishment of oligonucleotide-based, site-directed mutagenesis and its development for protein studies""",GBR,54.6,-2.0,United Kingdom
280,George A.,Olah,1927,2017,Hungary,HU,male,1994,chemistry,"""for his contribution to carbocation chemistry""",HUN,47.0,19.0,Hungary
281,Paul J.,Crutzen,1933,2021,the Netherlands,NL,male,1995,chemistry,"""for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone""",NLD,52.32,5.55,Netherlands
282,Mario J.,Molina,1943,2020,Mexico,MX,male,1995,chemistry,"""for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone""",MEX,23.0,-102.0,Mexico
283,F. Sherwood,Rowland,1927,2012,USA,US,male,1995,chemistry,"""for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone""",USA,39.83,-98.58,United States of America
284,Robert F.,Curl Jr.,1933,2022,USA,US,male,1996,chemistry,"""for their discovery of fullerenes""",USA,39.83,-98.58,United States of America
285,Sir Harold,Kroto,1939,2016,United Kingdom,GB,male,1996,chemistry,"""for their discovery of fullerenes""",GBR,54.6,-2.0,United Kingdom
286,Richard E.,Smalley,1943,2005,USA,US,male,1996,chemistry,"""for their discovery of fullerenes""",USA,39.83,-98.58,United States of America
287,Paul D.,Boyer,1918,2018,USA,US,male,1997,chemistry,"""for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP)""",USA,39.83,-98.58,United States of America
288,John E.,Walker,1941,0,United Kingdom,GB,male,1997,chemistry,"""for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP)""",GBR,54.6,-2.0,United Kingdom
289,Jens C.,Skou,1918,2018,Denmark,DK,male,1997,chemistry,"""for the first discovery of an ion-transporting enzyme, Na+, K+ -ATPase""",DNK,56.0,10.0,Denmark
290,Walter,Kohn,1923,2016,Austria,AT,male,1998,chemistry,"""for his development of the density-functional theory""",AUT,48.0,14.0,Austria
291,John,Pople,1925,2004,United Kingdom,GB,male,1998,chemistry,"""for his development of computational methods in quantum chemistry""",GBR,54.6,-2.0,United Kingdom
292,Ahmed,Zewail,1946,2016,Egypt,EG,male,1999,chemistry,"""for his studies of the transition states of chemical reactions using femtosecond spectroscopy""",EGY,27.0,29.0,Egypt
293,Emil,von Behring,1854,1917,Prussia (now Poland),PL,male,1901,medicine,"""for his work on serum therapy, especially its application against diphtheria, by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths""",POL,52.0,19.0,Poland
294,Ronald,Ross,1857,1932,India,IN,male,1902,medicine,"""for his work on malaria, by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it""",IND,22.8,83.0,India
295,Niels Ryberg,Finsen,1860,1904,Faroe Islands (Denmark),DK,male,1903,medicine,"""in recognition of his contribution to the treatment of diseases, especially lupus vulgaris, with concentrated light radiation, whereby he has opened a new avenue for medical science""",DNK,56.0,10.0,Denmark
296,Ivan,Pavlov,1849,1936,Russia,RU,male,1904,medicine,"""in recognition of his work on the physiology of digestion, through which knowledge on vital aspects of the subject has been transformed and enlarged""",RUS,66.42,94.25,Russia
297,Robert,Koch,1843,1910,Germany,DE,male,1905,medicine,"""for his investigations and discoveries in relation to tuberculosis""",DDR,52.05,12.39,German Democratic Republic
298,Camillo,Golgi,1843,1926,Italy,IT,male,1906,medicine,"""in recognition of their work on the structure of the nervous system""",ITA,42.5,12.5,Italy
299,Santiago,Ramón y Cajal,1852,1934,Spain,ES,male,1906,medicine,"""in recognition of their work on the structure of the nervous system""",ESP,40.2,-3.5,Spain
300,Alphonse,Laveran,1845,1922,France,FR,male,1907,medicine,"""in recognition of his work on the role played by protozoa in causing diseases""",FRA,47.0,2.0,France
301,Ilya,Mechnikov,1845,1916,Russian Empire (now Ukraine),UA,male,1908,medicine,"""in recognition of their work on immunity""",UKR,49.0,32.0,Ukraine
302,Paul,Ehrlich,1854,1915,Prussia (now Poland),PL,male,1908,medicine,"""in recognition of their work on immunity""",POL,52.0,19.0,Poland
303,Theodor,Kocher,1841,1917,Switzerland,CH,male,1909,medicine,"""for his work on the physiology, pathology and surgery of the thyroid gland""",CHE,46.8,8.23,Switzerland
304,Albrecht,Kossel,1853,1927,Mecklenburg (now Germany),DE,male,1910,medicine,"""in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins, including the nucleic substances""",DDR,52.05,12.39,German Democratic Republic
305,Allvar,Gullstrand,1862,1930,Sweden,SE,male,1911,medicine,"""for his work on the dioptrics of the eye""",SWE,61.0,15.0,Sweden
306,Alexis,Carrel,1873,1944,France,FR,male,1912,medicine,"""in recognition of his work on vascular suture and the transplantation of blood vessels and organs""",FRA,47.0,2.0,France
307,Charles,Richet,1850,1935,France,FR,male,1913,medicine,"""in recognition of his work on anaphylaxis""",FRA,47.0,2.0,France
308,Robert,Bárány,1876,1936,Austria,AT,male,1914,medicine,"""for his work on the physiology and pathology of the vestibular apparatus""",AUT,48.0,14.0,Austria
309,Jules,Bordet,1870,1961,Belgium,BE,male,1919,medicine,"""for his discoveries relating to immunity""",BEL,50.64,4.67,Belgium
310,August,Krogh,1874,1949,Denmark,DK,male,1920,medicine,"""for his discovery of the capillary motor regulating mechanism""",DNK,56.0,10.0,Denmark
311,Archibald V.,Hill,1886,1977,United Kingdom,GB,male,1922,medicine,"""for his discovery relating to the production of heat in the muscle""",GBR,54.6,-2.0,United Kingdom
312,Otto,Meyerhof,1884,1951,Germany,DE,male,1922,medicine,"""for his discovery of the fixed relationship between the consumption of oxygen and the metabolism of lactic acid in the muscle""",DDR,52.05,12.39,German Democratic Republic
313,Frederick G.,Banting,1891,1941,Canada,CA,male,1923,medicine,"""for the discovery of insulin""",CAN,56.0,-109.0,Canada
314,John,Macleod,1876,1935,Scotland,GB,male,1923,medicine,"""for the discovery of insulin""",GBR,54.6,-2.0,United Kingdom
315,Willem,Einthoven,1860,1927,"Java, Dutch East Indies (now Indonesia)",ID,male,1924,medicine,"""for his discovery of the mechanism of the electrocardiogram""",IDN,-2.0,118.0,Indonesia
316,Johannes,Fibiger,1867,1928,Denmark,DK,male,1926,medicine,"""for his discovery of the Spiroptera carcinoma""",DNK,56.0,10.0,Denmark
317,Julius,Wagner-Jauregg,1857,1940,Austria,AT,male,1927,medicine,"""for his discovery of the therapeutic value of malaria inoculation in the treatment of dementia paralytica""",AUT,48.0,14.0,Austria
318,Charles,Nicolle,1866,1936,France,FR,male,1928,medicine,"""for his work on typhus""",FRA,47.0,2.0,France
319,Christiaan,Eijkman,1858,1930,the Netherlands,NL,male,1929,medicine,"""for his discovery of the antineuritic vitamin""",NLD,52.32,5.55,Netherlands
320,Sir Frederick,Hopkins,1861,1947,United Kingdom,GB,male,1929,medicine,"""for his discovery of the growth-stimulating vitamins""",GBR,54.6,-2.0,United Kingdom
321,Karl,Landsteiner,1868,1943,Austrian Empire (now Austria),AT,male,1930,medicine,"""for his discovery of human blood groups""",AUT,48.0,14.0,Austria
322,Otto,Warburg,1883,1970,Germany,DE,male,1931,medicine,"""for his discovery of the nature and mode of action of the respiratory enzyme""",DDR,52.05,12.39,German Democratic Republic
323,Sir Charles,Sherrington,1857,1952,United Kingdom,GB,male,1932,medicine,"""for their discoveries regarding the functions of neurons""",GBR,54.6,-2.0,United Kingdom
324,Edgar,Adrian,1889,1977,United Kingdom,GB,male,1932,medicine,"""for their discoveries regarding the functions of neurons""",GBR,54.6,-2.0,United Kingdom
325,Thomas H.,Morgan,1866,1945,USA,US,male,1933,medicine,"""for his discoveries concerning the role played by the chromosome in heredity""",USA,39.83,-98.58,United States of America
326,George H.,Whipple,1878,1976,USA,US,male,1934,medicine,"""for their discoveries concerning liver therapy in cases of anaemia""",USA,39.83,-98.58,United States of America
327,George R.,Minot,1885,1950,USA,US,male,1934,medicine,"""for their discoveries concerning liver therapy in cases of anaemia""",USA,39.83,-98.58,United States of America
328,William P.,Murphy,1892,1987,USA,US,male,1934,medicine,"""for their discoveries concerning liver therapy in cases of anaemia""",USA,39.83,-98.58,United States of America
329,Hans,Spemann,1869,1941,Württemberg (now Germany),DE,male,1935,medicine,"""for his discovery of the organizer effect in embryonic development""",DDR,52.05,12.39,German Democratic Republic
330,Sir Henry,Dale,1875,1968,United Kingdom,GB,male,1936,medicine,"""for their discoveries relating to chemical transmission of nerve impulses""",GBR,54.6,-2.0,United Kingdom
331,Otto,Loewi,1873,1961,Germany,DE,male,1936,medicine,"""for their discoveries relating to chemical transmission of nerve impulses""",DDR,52.05,12.39,German Democratic Republic
332,Albert,Szent-Györgyi,1893,1986,Austria-Hungary (now Hungary),HU,male,1937,medicine,"""for his discoveries in connection with the biological combustion processes, with special reference to vitamin C and the catalysis of fumaric acid""",HUN,47.0,19.0,Hungary
333,Corneille,Heymans,1892,1968,Belgium,BE,male,1938,medicine,"""for the discovery of the role played by the sinus and aortic mechanisms in the regulation of respiration""",BEL,50.64,4.67,Belgium
334,Gerhard,Domagk,1895,1964,Germany (now Poland),PL,male,1939,medicine,"""for the discovery of the antibacterial effects of prontosil""",POL,52.0,19.0,Poland
335,Henrik,Dam,1895,1976,Denmark,DK,male,1943,medicine,"""for his discovery of vitamin K""",DNK,56.0,10.0,Denmark
336,Edward A.,Doisy,1893,1986,USA,US,male,1943,medicine,"""for his discovery of the chemical nature of vitamin K""",USA,39.83,-98.58,United States of America
337,Joseph,Erlanger,1874,1965,USA,US,male,1944,medicine,"""for their discoveries relating to the highly differentiated functions of single nerve fibres""",USA,39.83,-98.58,United States of America
338,Herbert S.,Gasser,1888,1963,USA,US,male,1944,medicine,"""for their discoveries relating to the highly differentiated functions of single nerve fibres""",USA,39.83,-98.58,United States of America
339,Sir Alexander,Fleming,1881,1955,Scotland,GB,male,1945,medicine,"""for the discovery of penicillin and its curative effect in various infectious diseases""",GBR,54.6,-2.0,United Kingdom
340,Ernst B.,Chain,1906,1979,Germany,DE,male,1945,medicine,"""for the discovery of penicillin and its curative effect in various infectious diseases""",DDR,52.05,12.39,German Democratic Republic
341,Sir Howard,Florey,1898,1968,Australia,AU,male,1945,medicine,"""for the discovery of penicillin and its curative effect in various infectious diseases""",AUS,-28.0,137.0,Australia
342,Hermann J.,Muller,1890,1967,USA,US,male,1946,medicine,"""for the discovery of the production of mutations by means of X-ray irradiation""",USA,39.83,-98.58,United States of America
343,Carl,Cori,1896,1984,Austria-Hungary (now Czech Republic),CZ,male,1947,medicine,"""for their discovery of the course of the catalytic conversion of glycogen""",CZE,49.5,16.0,Czech Republic
344,Gerty,Cori,1896,1957,Austria-Hungary (now Czech Republic),CZ,female,1947,medicine,"""for their discovery of the course of the catalytic conversion of glycogen""",CZE,49.5,16.0,Czech Republic
345,Bernardo,Houssay,1887,1971,Argentina,AR,male,1947,medicine,"""for his discovery of the part played by the hormone of the anterior pituitary lobe in the metabolism of sugar""",ARG,-34.0,-64.0,Argentina
346,Paul,Müller,1899,1965,Switzerland,CH,male,1948,medicine,"""for his discovery of the high efficiency of DDT as a contact poison against several arthropods""",CHE,46.8,8.23,Switzerland
347,Walter,Hess,1881,1973,Switzerland,CH,male,1949,medicine,"""for his discovery of the functional organization of the interbrain as a coordinator of the activities of the internal organs""",CHE,46.8,8.23,Switzerland
348,Egas,Moniz,1874,1955,Portugal,PT,male,1949,medicine,"""for his discovery of the therapeutic value of leucotomy in certain psychoses""",PRT,38.7,-9.18,Portugal
349,Edward C.,Kendall,1886,1972,USA,US,male,1950,medicine,"""for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects""",USA,39.83,-98.58,United States of America
350,Tadeus,Reichstein,1897,1996,Poland,PL,male,1950,medicine,"""for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects""",POL,52.0,19.0,Poland
351,Philip S.,Hench,1896,1965,USA,US,male,1950,medicine,"""for their discoveries relating to the hormones of the adrenal cortex, their structure and biological effects""",USA,39.83,-98.58,United States of America
352,Max,Theiler,1899,1972,South Africa,ZA,male,1951,medicine,"""for his discoveries concerning yellow fever and how to combat it""",ZAF,-29.0,24.0,South Africa
353,Selman A.,Waksman,1888,1973,Russian Empire (now Ukraine),UA,male,1952,medicine,"""for his discovery of streptomycin, the first antibiotic effective against tuberculosis""",UKR,49.0,32.0,Ukraine
354,Hans,Krebs,1900,1981,Germany,DE,male,1953,medicine,"""for his discovery of the citric acid cycle""",DDR,52.05,12.39,German Democratic Republic
355,Fritz,Lipmann,1899,1986,Germany (now Russia),RU,male,1953,medicine,"""for his discovery of co-enzyme A and its importance for intermediary metabolism""",RUS,66.42,94.25,Russia
356,John F.,Enders,1897,1985,USA,US,male,1954,medicine,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""",USA,39.83,-98.58,United States of America
357,Thomas H.,Weller,1915,2008,USA,US,male,1954,medicine,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""",USA,39.83,-98.58,United States of America
358,Frederick C.,Robbins,1916,2003,USA,US,male,1954,medicine,"""for their discovery of the ability of poliomyelitis viruses to grow in cultures of various types of tissue""",USA,39.83,-98.58,United States of America
359,Hugo,Theorell,1903,1982,Sweden,SE,male,1955,medicine,"""for his discoveries concerning the nature and mode of action of oxidation enzymes""",SWE,61.0,15.0,Sweden
360,André F.,Cournand,1895,1988,France,FR,male,1956,medicine,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",FRA,47.0,2.0,France
361,Werner,Forssmann,1904,1979,Germany,DE,male,1956,medicine,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",DDR,52.05,12.39,German Democratic Republic
362,Dickinson W.,Richards,1895,1973,USA,US,male,1956,medicine,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",USA,39.83,-98.58,United States of America
363,Daniel,Bovet,1907,1992,Switzerland,CH,male,1957,medicine,"""for his discoveries relating to synthetic compounds that inhibit the action of certain body substances, and especially their action on the vascular system and the skeletal muscles""",CHE,46.8,8.23,Switzerland
364,George,Beadle,1903,1989,USA,US,male,1958,medicine,"""for their discovery that genes act by regulating definite chemical events""",USA,39.83,-98.58,United States of America
365,Edward,Tatum,1909,1975,USA,US,male,1958,medicine,"""for their discovery that genes act by regulating definite chemical events""",USA,39.83,-98.58,United States of America
366,Joshua,Lederberg,1925,2008,USA,US,male,1958,medicine,"""for his discoveries concerning genetic recombination and the organization of the genetic material of bacteria""",USA,39.83,-98.58,United States of America
367,Severo,Ochoa,1905,1993,Spain,ES,male,1959,medicine,"""for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid""",ESP,40.2,-3.5,Spain
368,Arthur,Kornberg,1918,2007,USA,US,male,1959,medicine,"""for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid""",USA,39.83,-98.58,United States of America
369,Sir Frank Macfarlane,Burnet,1899,1985,Australia,AU,male,1960,medicine,"""for discovery of acquired immunological tolerance""",AUS,-28.0,137.0,Australia
370,Peter,Medawar,1915,1987,Brazil,BR,male,1960,medicine,"""for discovery of acquired immunological tolerance""",BRA,-14.0,-53.0,Brazil
371,Georg,von Békésy,1899,1972,Hungary,HU,male,1961,medicine,"""for his discoveries of the physical mechanism of stimulation within the cochlea""",HUN,47.0,19.0,Hungary
372,Francis,Crick,1916,2004,United Kingdom,GB,male,1962,medicine,"""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material""",GBR,54.6,-2.0,United Kingdom
373,James,Watson,1928,0,USA,US,male,1962,medicine,"""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material""",USA,39.83,-98.58,United States of America
374,Maurice,Wilkins,1916,2004,New Zealand,NZ,male,1962,medicine,"""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material""",NZL,-41.2,174.0,New Zealand
375,Sir John,Eccles,1903,1997,Australia,AU,male,1963,medicine,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane""",AUS,-28.0,137.0,Australia
376,Alan,Hodgkin,1914,1998,United Kingdom,GB,male,1963,medicine,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane""",GBR,54.6,-2.0,United Kingdom
377,Andrew,Huxley,1917,2012,United Kingdom,GB,male,1963,medicine,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane""",GBR,54.6,-2.0,United Kingdom
378,Konrad,Bloch,1912,2000,Germany (now Poland),PL,male,1964,medicine,"""for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism""",POL,52.0,19.0,Poland
379,Feodor,Lynen,1911,1979,Germany,DE,male,1964,medicine,"""for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism""",DDR,52.05,12.39,German Democratic Republic
380,François,Jacob,1920,2013,France,FR,male,1965,medicine,"""for their discoveries concerning genetic control of enzyme and virus synthesis""",FRA,47.0,2.0,France
381,André,Lwoff,1902,1994,France,FR,male,1965,medicine,"""for their discoveries concerning genetic control of enzyme and virus synthesis""",FRA,47.0,2.0,France
382,Jacques,Monod,1910,1976,France,FR,male,1965,medicine,"""for their discoveries concerning genetic control of enzyme and virus synthesis""",FRA,47.0,2.0,France
383,Peyton,Rous,1879,1970,USA,US,male,1966,medicine,"""for his discovery of tumour-inducing viruses""",USA,39.83,-98.58,United States of America
384,Charles B.,Huggins,1901,1997,Canada,CA,male,1966,medicine,"""for his discoveries concerning hormonal treatment of prostatic cancer""",CAN,56.0,-109.0,Canada
385,Ragnar,Granit,1900,1991,Russian Empire (now Finland),FI,male,1967,medicine,"""for their discoveries concerning the primary physiological and chemical visual processes in the eye""",FIN,65.0,27.0,Finland
386,Keffer,Hartline,1903,1983,USA,US,male,1967,medicine,"""for their discoveries concerning the primary physiological and chemical visual processes in the eye""",USA,39.83,-98.58,United States of America
387,George,Wald,1906,1997,USA,US,male,1967,medicine,"""for their discoveries concerning the primary physiological and chemical visual processes in the eye""",USA,39.83,-98.58,United States of America
388,Robert W.,Holley,1922,1993,USA,US,male,1968,medicine,"""for their interpretation of the genetic code and its function in protein synthesis""",USA,39.83,-98.58,United States of America
389,H. Gobind,Khorana,1922,2011,India,IN,male,1968,medicine,"""for their interpretation of the genetic code and its function in protein synthesis""",IND,22.8,83.0,India
390,Marshall W.,Nirenberg,1927,2010,USA,US,male,1968,medicine,"""for their interpretation of the genetic code and its function in protein synthesis""",USA,39.83,-98.58,United States of America
391,Max,Delbrück,1906,1981,Germany,DE,male,1969,medicine,"""for their discoveries concerning the replication mechanism and the genetic structure of viruses""",DDR,52.05,12.39,German Democratic Republic
392,Alfred D.,Hershey,1908,1997,USA,US,male,1969,medicine,"""for their discoveries concerning the replication mechanism and the genetic structure of viruses""",USA,39.83,-98.58,United States of America
393,Salvador E.,Luria,1912,1991,Italy,IT,male,1969,medicine,"""for their discoveries concerning the replication mechanism and the genetic structure of viruses""",ITA,42.5,12.5,Italy
394,Sir Bernard,Katz,1911,2003,Germany,DE,male,1970,medicine,"""for their discoveries concerning the humoral transmitters in the nerve terminals and the mechanism for their storage, release and inactivation""",DDR,52.05,12.39,German Democratic Republic
395,Ulf,von Euler,1905,1983,Sweden,SE,male,1970,medicine,"""for their discoveries concerning the humoral transmitters in the nerve terminals and the mechanism for their storage, release and inactivation""",SWE,61.0,15.0,Sweden
